#{"t_start": 1744769748.434291, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
180.0,1917,1.556899
10.0,1783,1.879157
240.0,3829,2.647034
285.0,2491,3.108073
65.0,1311,3.340076
65.0,1743,3.69239
155.0,2229,4.093644
155.0,2291,4.535486
65.0,1819,4.88267
120.0,1541,5.197288
135.0,1907,5.549516
170.0,2449,6.003184
65.0,1633,6.296134
55.0,1533,6.603833
135.0,1923,6.937531
120.0,1951,7.291792
110.0,1845,7.661899
260.0,2619,8.171056
75.0,1605,8.466587
265.0,3401,9.127145
45.0,1697,9.438955
220.0,2981,10.001373
210.0,2361,10.429679
90.0,1201,10.642423
165.0,1931,11.004855
30.0,1293,11.248794
120.0,2057,11.673589
105.0,1599,11.96099
50.0,1219,12.188576
210.0,2611,12.669084
80.0,1717,12.969709
65.0,1651,13.315473
135.0,2377,13.737811
180.0,1957,14.096764
170.0,2343,14.524467
30.0,1265,14.770701
220.0,2795,15.313351
190.0,2655,15.792751
395.0,2859,16.289386
125.0,2015,16.653868
75.0,1185,16.884142
335.0,3273,17.51454
140.0,1933,17.870088
105.0,1845,18.211809
320.0,3193,18.811095
90.0,1203,19.028762
205.0,2381,19.45349
50.0,1201,19.677773
80.0,1275,19.900238
50.0,1533,20.171626
25.0,1129,22.769643
230.0,3292,23.378582
120.0,1899,23.759358
65.0,1473,24.041808
410.0,3413,24.741838
290.0,2889,25.271078
125.0,1937,25.646484
30.0,1219,25.87674
20.0,1531,26.143945
80.0,1655,26.453179
290.0,2879,26.988238
155.0,1787,27.322166
165.0,1963,27.711037
150.0,1933,28.073552
100.0,1493,28.338236
165.0,2349,28.799215
90.0,1839,29.132769
210.0,2299,29.57267
210.0,2421,30.030902
135.0,2307,30.453885
185.0,1827,30.784477
180.0,1911,31.129789
80.0,1189,31.392477
110.0,1933,31.737671
135.0,2049,32.109094
145.0,2261,32.526666
155.0,1871,32.875453
75.0,1873,33.232089
120.0,1937,33.59887
115.0,2123,33.99809
90.0,1587,34.296659
675.0,4517,35.102481
105.0,1867,35.444718
250.0,2455,35.888858
135.0,1771,36.221091
30.0,1195,36.434393
120.0,2451,36.906946
170.0,2609,37.427309
180.0,2183,37.807753
230.0,2995,38.364532
75.0,1567,38.695001
320.0,2207,39.086344
135.0,2139,39.501769
80.0,1631,39.806709
105.0,1713,40.126642
80.0,1559,40.406786
135.0,2459,40.846395
105.0,2045,41.202697
350.0,3019,41.731696
110.0,2105,44.45383
70.0,1501,44.742262
365.0,2435,45.216238
55.0,1149,45.434612
210.0,2083,45.856393
255.0,2849,46.40306
155.0,2013,46.772553
180.0,2035,47.164003
350.0,3026,47.704259
65.0,1137,47.920493
105.0,1585,48.225871
30.0,1609,48.51969
105.0,1551,48.805385
210.0,2411,49.251128
90.0,1791,49.594426
110.0,2039,49.959708
180.0,1949,50.332639
120.0,2041,50.71768
20.0,1167,50.922626
110.0,1925,51.291377
105.0,1619,51.624271
185.0,2685,52.117168
425.0,3377,52.70824
235.0,3425,53.342328
270.0,3065,53.912713
155.0,2285,54.372809
155.0,1931,54.735938
55.0,1033,54.960933
340.0,2995,55.528233
50.0,1037,55.710707
210.0,2233,56.157803
40.0,1295,56.410685
155.0,1723,56.720436
80.0,1465,57.019481
210.0,2365,57.451975
125.0,1561,57.744301
10.0,1421,58.014307
135.0,2277,58.473648
275.0,2557,58.917176
110.0,1901,59.291283
135.0,1753,59.59613
65.0,1887,59.941956
55.0,1119,60.137304
135.0,2089,60.558881
155.0,1895,60.914525
120.0,1983,61.287988
75.0,1541,61.560016
195.0,2211,61.965445
90.0,1805,62.324219
155.0,2031,62.714455
45.0,1733,63.074406
155.0,1957,65.40322
120.0,1983,65.787068
185.0,2769,66.315935
85.0,2289,66.745534
105.0,1661,67.077415
180.0,2157,67.46147
215.0,2487,67.936263
210.0,2449,68.396728
110.0,1965,68.756004
90.0,1979,69.127881
155.0,2183,69.566133
120.0,1947,69.907881
210.0,2255,70.301476
80.0,1489,70.569067
50.0,1877,70.944408
135.0,2283,71.390997
210.0,3289,72.024064
315.0,3429,72.64155
50.0,1603,72.932219
185.0,2591,73.430577
465.0,2811,73.996145
180.0,2335,74.41872
65.0,1173,74.625871
60.0,1275,74.877935
45.0,1709,75.181178
125.0,2039,75.554942
135.0,1971,75.909711
100.0,2113,76.332283
180.0,1673,76.669638
140.0,2055,77.037981
90.0,1537,77.319967
315.0,3411,77.947223
110.0,1993,78.347615
150.0,2499,78.838022
340.0,2077,79.236577
125.0,2007,79.620531
95.0,1543,79.894851
180.0,2165,80.343619
155.0,1675,80.660226
150.0,2727,81.170703
180.0,1847,81.52726
105.0,1871,81.875771
90.0,1899,82.221433
45.0,1201,82.456398
45.0,1681,82.765725
30.0,1351,83.014205
100.0,1177,83.238486
145.0,2973,83.805071
185.0,2099,84.180209
410.0,3077,87.079482
355.0,2193,87.963507
180.0,2133,88.889263
105.0,1193,89.407829
125.0,1173,89.902741
185.0,2657,91.045139
285.0,2701,92.208446
105.0,1519,92.771393
155.0,2175,93.603654
210.0,2657,94.592753
90.0,1631,95.200728
85.0,2087,95.980545
230.0,3383,97.259921
160.0,2355,98.148564
135.0,1869,98.870184
125.0,1519,99.484624
160.0,1993,100.311458
110.0,1945,101.037516
120.0,2049,101.826065
160.0,1937,102.560103
255.0,3209,103.795591
110.0,1395,104.334504
125.0,2437,105.306986
230.0,2937,106.434657
105.0,1803,107.160936
45.0,1945,107.929428
230.0,2931,109.032783
120.0,1633,109.68496
220.0,2583,110.708969
215.0,3437,112.014217
240.0,2729,113.072829
100.0,2227,113.873614
110.0,2083,114.634236
30.0,1175,115.082587
395.0,4115,116.719494
225.0,3531,118.072126
140.0,1797,118.806354
170.0,2601,119.840997
65.0,1659,120.491275
45.0,1541,121.06866
55.0,1157,121.502102
235.0,2523,122.47057
